image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.4ff1be143399e022b24defa3a6e0db8a.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.64e84193f6d9ebad3f6ab80926e1a7f2.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.4ff1be143399e022b24defa3a6e0db8a.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_8_jpg.rf.977adf3954893aa76cef86f6c69d3341.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.ce89c1bb0e2d0692a794b3074c57e127.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.741dc02ffadb898f6040f0ddbd6142da.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc2_jpg.rf.ce89c1bb0e2d0692a794b3074c57e127.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_7_jpg.rf.3a9fa8c518e7fa75cc3649f7b27d9109.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.2e33885fb25bd55df0a31312b1217426.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.15d72d897c9233ce936ce8735184188a.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.2e33885fb25bd55df0a31312b1217426.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_11_jpg.rf.546495d3f73f9fd08c5cc3fe13706e9e.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.d6c173ba28b66f5816664941b8a055e8.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.8f121a60cee86cc23fa4058ec3a53f65.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc3_jpg.rf.d6c173ba28b66f5816664941b8a055e8.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_10_jpg.rf.d600b50de3d2781783f35e271ba293db.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__Bacteria3_png_jpg.rf.b75cc9bac26c589e7f174cf9ed18337e.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__Bacteria3_png_jpg.rf.bfac712ef3f7d30f9207a8986c133087.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__Bacteria3_png_jpg.rf.b75cc9bac26c589e7f174cf9ed18337e.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_12_jpg.rf.b5d5c1e658e1aae44669aadde067722c.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__Bacteria3_png_jpg.rf.f067c3e76f538f5f0538c970c6f19570.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__Bacteria3_png_jpg.rf.ba4ca1890f8a734b9f8c5ef6fc811908.jpg,0
